filename,true_label,pred_label,probability
0.pt,0,0,0.001609122846275568
1.pt,0,0,0.0013485040981322527
2.pt,0,0,0.0019053039140999317
3.pt,0,0,0.0006119990721344948
4.pt,1,1,1.0
5.pt,1,1,1.0
6.pt,1,1,0.9999998807907104
7.pt,0,0,0.0020737219601869583
8.pt,1,1,0.9999996423721313
9.pt,0,0,0.0020619132556021214
10.pt,1,1,1.0
11.pt,1,1,0.9999998807907104
12.pt,0,0,0.00447723176330328
13.pt,0,0,0.00037789560155943036
14.pt,0,0,0.002194734988734126
15.pt,0,0,0.0013420006725937128
16.pt,0,0,0.0009730838937684894
17.pt,0,0,0.00044600319233722985
18.pt,0,0,0.002355861710384488
19.pt,0,0,0.0003026454651262611
20.pt,0,0,0.0001963426620932296
21.pt,0,0,0.00012066298222634941
22.pt,0,0,0.0014908590819686651
23.pt,1,1,0.9999997615814209
24.pt,1,1,0.9999949932098389
25.pt,1,1,0.9970672726631165
26.pt,0,0,0.008296975865960121
27.pt,0,0,0.0033626342192292213
28.pt,0,0,0.03046267293393612
29.pt,1,1,1.0
30.pt,1,1,1.0
31.pt,0,0,0.000299074366921559
32.pt,0,0,0.0006234456668607891
33.pt,0,0,0.0017696754075586796
34.pt,0,0,0.0008627154747955501
35.pt,0,0,0.001689709722995758
36.pt,0,0,0.0011369978310540318
37.pt,0,0,0.0010013015707954764
38.pt,0,0,0.00023037928622215986
39.pt,0,0,0.002343430183827877
40.pt,0,0,0.005588171072304249
41.pt,0,0,0.007937573827803135
42.pt,1,1,1.0
43.pt,1,1,1.0
44.pt,0,0,0.002952023409307003
45.pt,1,1,1.0
46.pt,0,0,0.0012277126079425216
47.pt,0,0,0.004184800665825605
48.pt,1,1,1.0
49.pt,0,0,0.0001889011764433235
50.pt,0,0,0.0012059698347002268
51.pt,0,0,0.0001877109461929649
52.pt,0,0,0.0002884975110646337
53.pt,0,0,0.0013224076246842742
54.pt,0,0,0.0005479799583554268
55.pt,0,0,0.0008517793612554669
56.pt,0,0,0.0004129132139496505
57.pt,0,0,0.0004697756376117468
58.pt,0,0,0.0012827763566747308
59.pt,0,0,0.0020456041675060987
60.pt,0,0,0.0008941017440520227
61.pt,0,0,0.0011695141438394785
62.pt,0,0,0.0077527305111289024
63.pt,0,0,0.010745554231107235
64.pt,0,0,0.03126221522688866
65.pt,0,0,0.00473066745325923
66.pt,0,0,0.000722937285900116
67.pt,0,0,0.0013971406733617187
68.pt,0,0,0.0015464570606127381
69.pt,0,0,0.001183442072942853
70.pt,0,0,0.0006045877817086875
71.pt,0,0,0.007547830231487751
72.pt,0,0,0.0029557645320892334
73.pt,0,0,0.0004502865776885301
74.pt,0,0,0.0010998971993103623
75.pt,0,0,0.001003838493488729
76.pt,0,0,0.008545530959963799
